Comic Name
DC Universe: Rebirth #1 (2016)
The Flash: Rebirth Vol. 2 #1 (2016)
Nightwing: Rebirth #1 (2016)
Titans: Rebirth #1 (2016)
Titans Vol. 3 #1 (2016)
Titans Vol. 3 #2
Titans Vol. 3 #3
Titans Vol. 3 #4
Titans Vol. 3 #5
Titans Vol. 3 #6
The Flash Vol. 5 #1 (2016)
The Flash Vol. 5 #2
The Flash Vol. 5 #3
The Flash Vol. 5 #4
The Flash Vol. 5 #5
The Flash Vol. 5 #6
The Flash Vol. 5 #7
The Flash Vol. 5 #8
Superman: Rebirth #1 (2016)
Superman Vol. 4 #1 (2016)
Superman Vol. 4 #2
Superman Vol. 4 #3
Superman Vol. 4 #4
Superman Vol. 4 #5
Superman Vol. 4 #6
Action Comics #957
Action Comics #958
Action Comics #959
Action Comics #960
Action Comics #961
Action Comics #962
Superwoman #1 (2016)
Superwoman #2
Superwoman #3
Superwoman #4
Superwoman #5
Superwoman #6
Superwoman #7
Batman: Three Jokers #1 (2020)
Batman: Three Jokers #2
Batman: Three Jokers #3
Green Arrow: Rebirth #1 (2016)
Green Arrow Vol. 6 #1 (2016)
Green Arrow Vol. 6 #2
Green Arrow Vol. 6 #3
Green Arrow Vol. 6 #4
Green Arrow Vol. 6 #5
Suicide Squad: War Crimes Special #1 (2016)
Hal Jordan & The Green Lantern Corps: Rebirth #1 (2016)
Green Lanterns: Rebirth #1 (2016)
Green Lanterns #1 (2016)
Green Lanterns #2
Green Lanterns #3
Green Lanterns #4
Green Lanterns #5
Green Lanterns #6
Hal Jordan & The Green Lantern Corps #1 (2016)
Hal Jordan & The Green Lantern Corps #2
Hal Jordan & The Green Lantern Corps #3
Hal Jordan & The Green Lantern Corps #4
Hal Jordan & The Green Lantern Corps #5
Hal Jordan & The Green Lantern Corps #6
Hal Jordan & The Green Lantern Corps #7
Harley Quinn Vol. 3 #1 (2016)
Harley Quinn Vol. 3 #2
Harley Quinn Vol. 3 #3
Harley Quinn Vol. 3 #4
Aquaman: Rebirth #1 (2016)
Aquaman Vol. 8 #1 (2016)
Aquaman Vol. 8 #2
Aquaman Vol. 8 #3
Aquaman Vol. 8 #4
Aquaman Vol. 8 #5
Aquaman Vol. 8 #6
Batman: Rebirth #1 (2016)
Batman Vol. 3 #1 (2016)
Batman Vol. 3 #2
Batman Vol. 3 #3
Batman Vol. 3 #4
Batman Vol. 3 #5
Batman Vol. 3 #6
Nightwing Vol. 4 #1 (2016)
Nightwing Vol. 4 #2
Nightwing Vol. 4 #3
Batgirl Vol. 5 #1 (2016)
Nightwing Vol. 4 #4
Batgirl Vol. 5 #2
Batgirl Vol. 5 #3
Batgirl Vol. 5 #4
Batgirl Vol. 5 #5
Batgirl Vol. 5 #6
Batgirl and the Birds of Prey: Rebirth #1 (2016)
Batgirl and the Birds of Prey #1 (2016)
Batgirl and the Birds of Prey #2
Batgirl and the Birds of Prey #3
Batgirl and the Birds of Prey #4
Batgirl and the Birds of Prey #5
Batgirl and the Birds of Prey #6
Detective Comics #934
Detective Comics #935
Detective Comics #936
Detective Comics #937
Detective Comics #938
Detective Comics #939
Detective Comics #940
Read Night of the Monster Men here.
Teen Titans Vol. 5 #24
Superman Vol. 4 #7
Green Arrow Vol. 6 #6
Green Arrow Vol. 6 #7
Justice League: Rebirth #1 (2016)
Justice League Vol. 3 #1 (2016)
Justice League Vol. 3 #2
Justice League Vol. 3 #3
Justice League Vol. 3 #4
Justice League Vol. 3 #5
Aquaman Vol. 8 #7
Aquaman Vol. 8 #8
Aquaman Vol. 8 #9
Aquaman Vol. 8 #10
Action Comics #963
Action Comics #964
Action Comics #965
Action Comics #966
Green Lanterns #7
Green Lanterns #8
Justice League Vol. 3 #6
Justice League Vol. 3 #7
The Flash Vol. 5 #9
Trinity Vol. 2 #1 (2016)
Trinity Vol. 2 #2
Trinity Vol. 2 #3
Trinity Vol. 2 #4
Trinity Vol. 2 #5
Trinity Vol. 2 #6
Suicide Squad: Rebirth #1 (2016)
Suicide Squad Vol. 5 #1 (2016)
Suicide Squad Vol. 5 #2
Suicide Squad Vol. 5 #3
Suicide Squad Vol. 5 #4
Superman Vol. 4 #8
Superman Vol. 4 #9
Superman Vol. 4 #10
Superman Vol. 4 #11
Green Arrow Vol. 6 #8
Green Arrow Vol. 6 #9
Green Arrow Vol. 6 #10
Green Arrow Vol. 6 #11
Harley Quinn Vol. 3 #5
Harley Quinn Vol. 3 #6
Harley Quinn Vol. 3 #7
Harley Quinn Vol. 3 #8
