Comic Name
Dark Days: The Forge #1 (2017)
Dark Days: The Casting #1 (2017)
Dark Nights: Metal #1 (2017)
Dark Nights: Metal #2
Batman: The Red Death #1 (2017)
Batman: The Murder Machine #1 (2017)
Batman: The Dawnbreaker #1 (2017)
Batman: The Drowned #1 (2017)
Teen Titans Vol. 6 #12
Nightwing Vol. 4 #29
Suicide Squad Vol. 5 #26
Green Arrow Vol. 6 #32
Batman: The Merciless #1 (2017)
Dark Nights: Metal #3
The Flash Vol. 5 #33
Batman: The Devastator #1 (2018)
Justice League Vol. 3 #32
Hal Jordan and the Green Lantern Corps #32
Justice League Vol. 3 #33
Batman Lost #1 (2018)
Dark Nights: Metal #4
Hawkman Found #1 (2018)
Dark Nights: Metal #5
Dark Knights Rising: The Wild Hunt #1 (2018)
The Batman Who Laughs #1 (2018)
Dark Nights: Metal #6
