Comic Name
Superman Vol. 4 #18
Action Comics #975
Superwoman #8
Superman Vol. 4 #19
Action Comics #976
Supergirl Vol. 7 #8
Superwoman #9
Trinity Vol. 2 #8
Action Comics #977
Action Comics #978
