Comic Name
Justice League Vol. 4 #10
Aquaman Vol. 8 #41
Titans Vol. 3 #28
Justice League/Aquaman: Drowned Earth #1 (2018)
Justice League Vol. 4 #11
Aquaman Vol. 8 #42
Justice League Vol. 4 #12
Aquaman/Justice League: Drowned Earth #1 (2018)
