Comic Name
Dark Nights: Death Metal #1 (2020)
Dark Nights: Death Metal #2
Dark Nights: Death Metal #3
Dark Nights: Death Metal: Legends of the Dark Knights #1 (2020)
Dark Nights: Death Metal: Guidebook #1 (2020)
Dark Nights: Death Metal: Trinity Crisis #1 (2020)
Dark Nights: Death Metal: Speed Metal #1 (2020)
Dark Nights: Death Metal: Multiverse’s End #1 (2020)
Dark Nights: Death Metal #4
Dark Nights: Death Metal: Infinite Hour Exxxtreme #1 (2021)
Dark Nights: Death Metal: Rise of the New God #1 (2020)
Dark Nights: Death Metal: Robin King #1 (2020)
Justice League Vol. 4 #53
Justice League Vol. 4 #54
Justice League Vol. 4 #55
Justice League Vol. 4 #56
Justice League Vol. 4 #57
Dark Nights: Death Metal #5
Dark Nights: Death Metal: The Multiverse Who Laughs #1 (2021)
Dark Nights: Death Metal: The Secret Origin #1 (2021)
Dark Nights: Death Metal: The Last Stories of the DC Universe #1 (2021)
Dark Nights: Death Metal #6
Dark Nights: Death Metal: The Last 52: War of the Multiverses #1 (2021)
Dark Nights: Death Metal #7
